country_a,country_b,issue,year,score_a,score_b,absolute_divergence,alignment_score,directional_agreement
CHN,USA,DISARMAMENT--GENERAL AND COMPLETE,2010,0.6667,0.0,0.6667,0.66665,0
CHN,USA,DISARMAMENT--GENERAL AND COMPLETE,2011,1.0,0.6667,0.33330000000000004,0.83335,1
CHN,USA,DISARMAMENT--GENERAL AND COMPLETE,2012,0.6667,-0.6667,1.3334,0.33330000000000004,0
CHN,USA,DISARMAMENT--GENERAL AND COMPLETE,2016,0.6667,0.3333,0.3334,0.8333,1
CHN,USA,DISARMAMENT--GENERAL AND COMPLETE,2023,0.0,0.6667,0.6667,0.66665,0
CHN,USA,"DISARMAMENT--GENERAL ASSEMBLY (10TH SPEC. SESS., 1978)--RECOMMENDATIONS",1984,0.7692,-0.6667,1.4359,0.28205,0
CHN,USA,"DISARMAMENT--GENERAL ASSEMBLY (12TH SPEC. SESS., 1982)--RECOMMENDATIONS",1984,0.6667,-0.5,1.1667,0.41664999999999996,0
CHN,USA,DISARMAMENT--RECOMMENDATIONS OF GENERAL ASSEMBLY (10TH SPEC. SESS.)--IMPLEMENTATION,1983,0.625,-0.6923,1.3173,0.34135000000000004,0
CHN,USA,DISARMAMENT--UN. GENERAL ASSEMBLY (10TH SPECIAL SESS. : 1978)--RECOMMENDATIONS,1985,0.8333,-0.6154,1.4487,0.27564999999999995,0
CHN,USA,DISARMAMENT--UN. GENERAL ASSEMBLY (10TH SPECIAL SESS. : 1978)--RECOMMENDATIONS,1986,0.9167,-0.5385,1.4552,0.2724,0
CHN,USA,DISARMAMENT--UN. GENERAL ASSEMBLY (10TH SPECIAL SESS. : 1978)--RECOMMENDATIONS,1987,0.75,-0.5,1.25,0.375,0
CHN,USA,DISARMAMENT--UN. GENERAL ASSEMBLY (10TH SPECIAL SESS. : 1978)--RECOMMENDATIONS,1988,1.0,-0.75,1.75,0.125,0
CHN,USA,DISARMAMENT--UN. GENERAL ASSEMBLY (10TH SPECIAL SESS. : 1978)--RECOMMENDATIONS,1989,1.0,-0.6,1.6,0.19999999999999996,0
CHN,USA,DISARMAMENT--UN. GENERAL ASSEMBLY (10TH SPECIAL SESS. : 1978)--RECOMMENDATIONS,1990,1.0,-1.0,2.0,0.0,0
