country_a,country_b,issue,year,score_a,score_b,absolute_divergence,alignment_score,directional_agreement
IND,USA,TERRITORIES OCCUPIED BY ISRAEL--HUMAN RIGHTS--REPORTS,2003,1.0,-0.8,1.8,0.09999999999999998,0
IND,USA,TERRITORIES OCCUPIED BY ISRAEL--HUMAN RIGHTS--REPORTS,2004,1.0,-0.8,1.8,0.09999999999999998,0
IND,USA,TERRITORIES OCCUPIED BY ISRAEL--HUMAN RIGHTS--REPORTS,2005,1.0,-0.8,1.8,0.09999999999999998,0
IND,USA,TERRITORIES OCCUPIED BY ISRAEL--HUMAN RIGHTS--REPORTS,2006,1.0,-0.8,1.8,0.09999999999999998,0
IND,USA,TERRITORIES OCCUPIED BY ISRAEL--HUMAN RIGHTS--REPORTS,2007,1.0,-0.6,1.6,0.19999999999999996,0
IND,USA,TERRITORIES OCCUPIED BY ISRAEL--HUMAN RIGHTS--REPORTS,2008,1.0,-0.8,1.8,0.09999999999999998,0
IND,USA,TERRITORIES OCCUPIED BY ISRAEL--HUMAN RIGHTS--REPORTS,2009,1.0,-0.8,1.8,0.09999999999999998,0
IND,USA,TERRITORIES OCCUPIED BY ISRAEL--HUMAN RIGHTS--REPORTS,2010,1.0,-0.8,1.8,0.09999999999999998,0
IND,USA,TERRITORIES OCCUPIED BY ISRAEL--HUMAN RIGHTS--REPORTS,2011,1.0,-0.8,1.8,0.09999999999999998,0
IND,USA,TERRITORIES OCCUPIED BY ISRAEL--HUMAN RIGHTS--REPORTS,2012,1.0,-0.8,1.8,0.09999999999999998,0
IND,USA,TERRITORIES OCCUPIED BY ISRAEL--HUMAN RIGHTS--REPORTS,2013,1.0,-0.8,1.8,0.09999999999999998,0
IND,USA,TERRITORIES OCCUPIED BY ISRAEL--HUMAN RIGHTS--REPORTS,2014,1.0,-0.8,1.8,0.09999999999999998,0
IND,USA,TERRITORIES OCCUPIED BY ISRAEL--HUMAN RIGHTS--REPORTS,2015,1.0,-0.8,1.8,0.09999999999999998,0
IND,USA,TERRITORIES OCCUPIED BY ISRAEL--HUMAN RIGHTS--REPORTS,2016,1.0,-0.8,1.8,0.09999999999999998,0
IND,USA,TERRITORIES OCCUPIED BY ISRAEL--HUMAN RIGHTS--REPORTS,2017,1.0,-0.8,1.8,0.09999999999999998,0
IND,USA,TERRITORIES OCCUPIED BY ISRAEL--HUMAN RIGHTS--REPORTS,2018,1.0,-1.0,2.0,0.0,0
IND,USA,TERRITORIES OCCUPIED BY ISRAEL--HUMAN RIGHTS--REPORTS,2019,1.0,-1.0,2.0,0.0,0
IND,USA,TERRITORIES OCCUPIED BY ISRAEL--HUMAN RIGHTS--REPORTS,2020,0.75,-1.0,1.75,0.125,0
IND,USA,TERRITORIES OCCUPIED BY ISRAEL--SETTLEMENT POLICY,1997,1.0,-1.0,2.0,0.0,0
IND,USA,TERRITORIES OCCUPIED BY ISRAEL--SETTLEMENT POLICY,2003,1.0,-1.0,2.0,0.0,0
IND,USA,TERRITORIES OCCUPIED BY ISRAEL--SETTLEMENT POLICY,2024,0.75,-1.0,1.75,0.125,0
IND,USA,UKRAINE--POLITICAL CONDITIONS,2022,0.0,1.0,1.0,0.5,0
IND,USA,UKRAINE--POLITICAL CONDITIONS,2025,0.0,0.0,0.0,1.0,0
IND,USA,UN CONFERENCES,2025,1.0,-1.0,2.0,0.0,0
IND,USA,UN DISENGAGEMENT OBSERVER FORCE--FINANCING,1987,1.0,1.0,0.0,1.0,1
IND,USA,UN SYSTEM--STRENGTHENING,2020,1.0,0.0,1.0,0.5,0
IND,USA,UN--BUDGET (1984-1985),1983,0.7143,0.0,0.7143,0.6428499999999999,0
IND,USA,UN--BUDGET (1984-1985),1984,1.0,-1.0,2.0,0.0,0
IND,USA,UN--BUDGET (1986-1987),1985,1.0,-0.8,1.8,0.09999999999999998,0
IND,USA,UN--BUDGET (1986-1987),1986,0.875,-0.75,1.625,0.1875,0
IND,USA,UN--BUDGET (2021),2020,1.0,-1.0,2.0,0.0,0
IND,USA,UN. COMMITTEE ON RELATIONS WITH THE HOST COUNTRY--REPORTS,1988,1.0,-1.0,2.0,0.0,0
