country_a,country_b,window_start,window_end,observations,mean_alignment,mean_divergence,directional_agreement
IND,USA,1992,1996,36,0.2757972222222222,1.4484055555555555,0.1111111111111111
IND,USA,1993,1997,37,0.2734081081081081,1.4531837837837838,0.10810810810810811
IND,USA,1994,1998,36,0.25802777777777774,1.4839444444444443,0.08333333333333333
IND,USA,1995,1999,34,0.25804558823529405,1.4839088235294118,0.08823529411764706
IND,USA,1996,2000,32,0.24615937499999999,1.50768125,0.0625
IND,USA,1997,2001,29,0.22297931034482757,1.554041379310345,0.034482758620689655
IND,USA,1998,2002,27,0.21744999999999998,1.5651,0.0
IND,USA,1999,2003,28,0.19978749999999998,1.6004250000000002,0.0
IND,USA,2000,2004,26,0.17280192307692305,1.6543961538461538,0.0
IND,USA,2001,2005,27,0.1657685185185185,1.668462962962963,0.0
IND,USA,2002,2006,27,0.17224999999999996,1.6555000000000002,0.0
IND,USA,2003,2007,26,0.16028461538461533,1.6794307692307693,0.0
IND,USA,2004,2008,23,0.17648260869565213,1.6470347826086955,0.0
IND,USA,2005,2009,23,0.16561304347826086,1.6687739130434782,0.0
IND,USA,2006,2010,21,0.16389047619047617,1.6722190476190475,0.0
IND,USA,2007,2011,22,0.18068181818181817,1.6386363636363634,0.045454545454545456
IND,USA,2008,2012,22,0.1875,1.625,0.045454545454545456
IND,USA,2009,2013,21,0.15674523809523808,1.6865095238095238,0.047619047619047616
IND,USA,2010,2014,20,0.1645825,1.6708349999999998,0.05
IND,USA,2011,2015,19,0.14912105263157893,1.701757894736842,0.05263157894736842
IND,USA,2012,2016,18,0.14814722222222218,1.7037055555555556,0.05555555555555555
IND,USA,2013,2017,17,0.12744999999999995,1.7450999999999999,0.058823529411764705
IND,USA,2014,2018,18,0.1078694444444444,1.7842611111111113,0.05555555555555555
IND,USA,2015,2019,18,0.09536944444444442,1.809261111111111,0.05555555555555555
IND,USA,2016,2020,20,0.08708249999999998,1.825835,0.05
IND,USA,2017,2021,19,0.07104999999999999,1.8579,0.0
IND,USA,2018,2022,19,0.09868157894736841,1.8026368421052634,0.0
IND,USA,2019,2023,19,0.1863973684210526,1.6272052631578946,0.05263157894736842
IND,USA,2020,2024,18,0.2129555555555555,1.5740888888888886,0.05555555555555555
IND,USA,2021,2025,22,0.20340227272727265,1.5931954545454545,0.045454545454545456
USA,RUS,1988,1992,6,0.5466833333333333,0.9066333333333333,0.3333333333333333
USA,RUS,1989,1993,13,0.6417384615384616,0.7165230769230769,0.3076923076923077
USA,RUS,1990,1994,21,0.6317904761904762,0.7364190476190476,0.23809523809523808
USA,RUS,1991,1995,29,0.632996551724138,0.734006896551724,0.2413793103448276
USA,RUS,1992,1996,36,0.5907013888888889,0.8185972222222223,0.25
USA,RUS,1993,1997,37,0.5632418918918919,0.8735162162162161,0.24324324324324326
USA,RUS,1994,1998,36,0.5017458333333332,0.9965083333333333,0.2222222222222222
USA,RUS,1995,1999,34,0.46442058823529414,1.0711588235294116,0.23529411764705882
USA,RUS,1996,2000,32,0.3882015625,1.2235968750000001,0.1875
USA,RUS,1997,2001,29,0.35565862068965515,1.2886827586206897,0.13793103448275862
USA,RUS,1998,2002,27,0.31608518518518514,1.3678296296296295,0.07407407407407407
USA,RUS,1999,2003,28,0.2678160714285714,1.464367857142857,0.03571428571428571
USA,RUS,2000,2004,26,0.21620769230769227,1.5675846153846156,0.0
USA,RUS,2001,2005,27,0.19915370370370364,1.601692592592593,0.0
USA,RUS,2002,2006,27,0.20193148148148146,1.596137037037037,0.0
USA,RUS,2003,2007,26,0.20072307692307692,1.598553846153846,0.0
USA,RUS,2004,2008,23,0.22654347826086954,1.546913043478261,0.0
USA,RUS,2005,2009,23,0.2178478260869565,1.564304347826087,0.0
USA,RUS,2006,2010,21,0.23531666666666662,1.5293666666666668,0.0
USA,RUS,2007,2011,22,0.25643863636363634,1.4871227272727274,0.045454545454545456
USA,RUS,2008,2012,22,0.28750000000000003,1.425,0.09090909090909091
USA,RUS,2009,2013,21,0.26944523809523807,1.461109523809524,0.09523809523809523
USA,RUS,2010,2014,20,0.2829175,1.4341650000000001,0.1
USA,RUS,2011,2015,19,0.3,1.4000000000000001,0.15789473684210525
USA,RUS,2012,2016,18,0.3074083333333333,1.3851833333333334,0.1111111111111111
USA,RUS,2013,2017,17,0.26960882352941173,1.4607823529411765,0.058823529411764705
USA,RUS,2014,2018,18,0.24213055555555554,1.515738888888889,0.05555555555555555
USA,RUS,2015,2019,18,0.23101944444444442,1.5379611111111113,0.05555555555555555
USA,RUS,2016,2020,20,0.17916749999999998,1.6416650000000002,0.0
USA,RUS,2017,2021,19,0.14078684210526313,1.7184263157894737,0.0
USA,RUS,2018,2022,19,0.13026052631578947,1.7394789473684211,0.0
USA,RUS,2019,2023,19,0.19078421052631572,1.6184315789473684,0.05263157894736842
USA,RUS,2020,2024,18,0.18980833333333327,1.6203833333333333,0.05555555555555555
USA,RUS,2021,2025,22,0.1623045454545454,1.675390909090909,0.045454545454545456
